,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,"III e VI do Código de Processo Civil e na Lei 8.078/90, em seu artigo 6.º, incs.",['artigo 6'],['Lei 8.078/90'],"['Lei 8.078/90', 'Código de Processo Civil']",[]
1,"V e VIII, combinado com o artigo 5.º - da Lei 10.962/2004 e art. 112 do Código Civil, promover a presente, AÇÃO ORDINÁRA REVISIONAL DE CONTRATO DE LEASING","['artigo 5', 'art. 112']",['Lei 10.962/2004'],['Código Civil'],[]
2,"V e VIII – da Lei 8.078/90, combinado com o artigo 5.º. da Lei 10.962-2004 e as Súmulas 181, 285, 286 e 297 do STJ).1-3) –",['artigo 5'],['Lei 8.078/90'],['Lei 8.078/90'],[]
3,"O Valor para cobrança da taxa de arrendamento mensal ou para a opção de compra e venda, no valor de R$ 17.000,00 (dezessete mil reais), na forma do artigo 5.º - alínea d – da Lei 6.099/74; e 1-4-3) -",['artigo 5'],['Lei 6.099/74'],[],[]
4,"O percentual da taxa de arrendamento de (4.3631% ao mês), corresponde aos juros cobrados pela Arrendadora no período contratado de 209,4267% e ao ano de 52,3567%, o que por si só descaracteriza o arrendamento para um financiamento comum, conforme se pode extrai do acórdão Apelação Civil 76376-0/188 do TJ-(GO ), que considera seguramente a taxa de arrendamento de 4.3631% ao mês, como o limite dos juros para cálculos e capitalização no final da operação, para estabelecer o valor cobrado como operação de financiamento previsto no artigo 6.º - § 2.º - da Lei 6.099/74).",['artigo 6'],['Lei 6.099/74'],[],[]
5,"O agente financeiro/leasing  possuir a conta gráfica da evolução do contrato de arrendamento (artigos  2.º - § 2.º -,  3.º - e 4.º - da Lei 6.099/74);2-2-5) –Os valores cobrados mensalmente do arrendamento mais os valores residuais para aquisição do bem não podem ser superior ao valor do bem financiado com seus encargos legais (artigo 6.º § 2.º - da Lei 6.099/74).2-3) -","['artigos ', 'artigo 6']","['Lei 6.099/74', 'Lei 6.099/74']",[],[]
6,"O art. 2º e 3º e seus incisos da Lei 8.078/90 – Código de Defesa do Consumidor, assim prescreve o seguinte, verbis.",['art. 2'],['Lei 8.078/90'],['Lei 8.078/90'],[]
7,"V e VIII – da lei 8.078/90 e Súmulas 181, 285 e 286 do STJ),  ainda, quando estas cláusulas contratuais forem abusivas e a interpretação de maneira favorável aos aderentes das cláusulas ambíguas, contraditórias e conflitantes, confusas e draconianas (artigos 47 e 54 §§ 2.º  do CDC e artigos 423 e 424 do CCB).","['artigos 47', 'artigos 423']",['lei 8.078/90'],"['CCB', 'CDC', 'CC', 'CDC ', 'CCB', 'CDC']",[]
8,"O  artigo 11, da lei 6.099/74, dispõe que:",['artigo 11'],['lei 6.099/74'],[],[]
9,"De outro lado o art. 112 do Código Civil de 2002, prescreve que:",['art. 112'],[],['Código Civil'],[]
10,PELOS ARTIGOS 26 E 49 DO CDC  VEZ QUE NA ESPECIE PRETENDE-SE EXPURGAR CLAUSULAS ABUSIVAS E NAO DISCUTIR,['ARTIGOS 26'],[],"['CDC', 'CDC ', 'CDC']",[]
11,"POR PARTE DO BANCO CREDOR, CONFORME NORMAS DO CDC",['ARTE '],[],"['CDC', 'CDC']",[]
12,"A capitalização diária e mensal de juros, nas operações em tela, representa verdadeira AGIOTAGEM OSTENSIVA,  contraria as normas do artigo  art. 4º do Decreto-Lei nº 22.626/33 e  fere o CDC, além do que, pela a medida provisória 2.170-36/2001, necessariamente deve conter cláusula expressa no instrumento contratual de capitalização de juros, sendo que caso contrario, afasta tal incidencia.","['artigo ', 'art. 4']",[],"['CDC', 'CDC,', 'CDC']",[]
13,"Assim, mesmo que o banco alege a pertinência da capitalização de juros com periodicidade inferior a 1 (um) ano pela Medida Provisória 1.963-17/2000, atualmente reeditada sob o nº 2.170-36/2001, o seu art. 5º que trata da capitalização de juros está suspensa através da ação direta proposta pelo PL –Partido Liberal, além do que tal incidencia afronta o CDC, por abusividade desta cláusulas, conforme os reiterados julgados, transcritos abaixos:",['art. 5'],[],"['CDC', 'CDC,', 'CDC']",[]
14,"ARTIGO 192, PAR, 3, DA CONSTITUIÇÃO FEDERAL.",['ARTIGO 192'],[],['CONSTITUIÇÃO FEDERAL'],[]
15,"O ARTIGO 192, PAR, 3, DA CONSTITUIÇÃO FEDERAL, E AUTO-APLICAVEL, RAZÃO PORQUE OS JUROS NÃO PODEM",['ARTIGO 192'],[],['CONSTITUIÇÃO FEDERAL'],[]
16,"p/ retirada do nome e (CPF) do Autor junto aos órgãos de proteção ao crédito: SERASA, SPC e AFINS, O caput do artigo 273 Do Digesto Processo Civil diz que o juiz poderá, a requerimento da parte antecipar, total ou parcialmente os efeitos da tutela pretendida no pedido inicial, desde que, existindo prova inequívoca, se convença da verossimilhança da alegação e:","['artigo 273', 'arte ']",[],['CPF)'],['CPF']
17,"I - haja fundado receio de dano irreparável ou de difícil reparaçãoSegundo Nelson Nery Júnior, em comentário ao art. 273 do CPC (Código de Processo Civil comentado, Ed.",['art. 273'],[],"['CPC', 'Código de Processo Civil', 'CPC ', 'CPC']",[]
18,"Porém, devidamente comprovada a veracidade das informações aqui prestadas, prova verossímil, presentes portanto, os pressupostos contidos no art. 273 do Código de Processo Civil.",['art. 273'],[],['Código de Processo Civil'],[]
