,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,"74.110.090, fones: (XX) 62 - 215.15.08 /- 215.33.45.PODERES: Gerais para o foro, nos termos do Art. 38 do CPC.",{'Art. 38'},set(),"{'CPC.', 'CPC'}",set()
1,", para fins de em conjunto ou não, em qualquer instância foro ou tribunal, ad ou extra - judicia, em defesa dos interesses do outorgante propor quaisquer ações cíveis ou criminais promover quaisquer medidas preliminares, preventivas ou assecuratórias, inclusive receber citação inicial, recursos, reconvir, excepcionar, argüir suspeição de qualquer pessoa ou autoridade, representa-lo na forma do art. 447 e 448 do CPC, concordar ou impugnar cálculos, laudos e avaliações, assinar termos, confessar, transigir, desistir, discordar, receber e dar quitação,  fazer acordos, Promover Ação Ordinária,  Embargos, agravos, Medidas Cautelares, podendo ainda substabelecer esta em outrem, com ou sem reservas de iguais poderes,   dando tudo  por  firme e valioso.",{'art. 447'},set(),"{'CPC,', 'CPC'}",set()
2,"DA POSSIBILIDADE JURÍDICA DA REVISÃO - CDC     		  	Sendo perfeitamente comportável a aplicação da teoria da imprevisão amparada pelo Código de Defesa do Consumidor, art. 6º., V, de sorte a  permitir a revisão de contrato originária de CÉDULA DE CRÉDITO BANCÁRIO, modalidade financiamento direto ao consumidor, expurgando as cláusulas contratuais que prevê correção e outros encargos fora do permitido por Lei ou quando sua cumulação é inadmissível, tudo que  viola dispositivos legais,  ou  comprovado o desequilíbrio contratual autoriza sua revisão judicial.",{'art. 6'},set(),"{'CDC ', 'CÉDULA DE CRÉDITO BANCÁRIO', 'CDC'}",set()
3,"OS PARÂMETROS DO ARTIGO 52 DO CDC, LIMITANDO-SE",{'ARTIGO 52'},set(),"{'CDC,', 'CDC'}",set()
4,"V e VIII – da lei 8.078/90 e Súmulas 181, 285 e 286 do STJ),  ainda, quando estas cláusulas contratuais forem abusivas e a interpretação de maneira favorável aos aderentes das cláusulas ambíguas, contraditórias e conflitantes, confusas e draconianas (artigos 47 e 54 §§ 2.º  do CDC e artigos 423 e 424 do CCB).","{'artigos 47', 'artigos 423'}",{'lei 8.078/90'},"{'CC', 'CCB', 'CDC', 'CDC '}",set()
5,III – da Lei 8.078/90 e artigo 28-inc.,{'artigo 28'},{'Lei 8.078/90'},{'Lei 8.078/90'},set()
6,II – da Lei 8.078/90 e artigo 28-º -,{'artigo 28'},{'Lei 8.078/90'},{'Lei 8.078/90'},set()
7,"I – da Lei 10.931/04), para cálculos separados da correção monetária e outros encargos legais (artigo 52-inc.",{'artigo 52'},{'Lei 10.931/04'},set(),set()
8,"II – da Lei 8.078/90, artigo 6.º - do Dec.",{'artigo 6'},{'Lei 8.078/90'},{'Lei 8.078/90'},set()
9,"22.626/33, artigo 591 do CCB);4) -",{'artigo 591'},set(),"{'CC', 'CCB'}",set()
10,"No caso de cédulas de crédito ou bancária ou contrato firmado após a Lei 10.931/04, há permissão para cálculos e cobrança ou capitalização mensal, desde que com taxas mensais equivalentes a taxa efetiva fixa anual, para capitalização mensal na forma do artigo 6.º - do Dec.",{'artigo 6'},{'Lei 10.931/04'},set(),set()
11,"Ill - AUTO-APLICABILIDADE DO § 3 DO ART, 192, DA CF/88.","{'ART, 192'}",set(),"{'CF', 'CF/88'}",set()
12,"A capitalização diária e mensal de juros, nas operações em tela, representa verdadeira AGIOTAGEM OSTENSIVA,  contraria as normas do artigo  art. 4º do Decreto-Lei nº 22.626/33 e  fere o CDC, além do que, pela a medida provisória 2.170-36/2001, necessariamente deve conter cláusula expressa no instrumento contratual de capitalização de juros, sendo que caso contrario, afasta tal incidencia.","{'art. 4', 'artigo '}",set(),"{'CDC,', 'CDC'}",set()
13,"Assim, mesmo que o banco alege a pertinência da capitalização de juros com periodicidade inferior a 1 (um) ano pela Medida Provisória 1.963-17/2000, atualmente reeditada sob o nº 2.170-36/2001, o seu art. 5º que trata da capitalização de juros está suspensa através da ação direta proposta pelo PL –Partido Liberal, além do que tal incidencia afronta o CDC, por abusividade desta cláusulas, conforme os reiterados julgados, transcritos abaixos:",{'art. 5'},set(),"{'CDC,', 'CDC'}",set()
14,"ARTIGO 192, PAR, 3, DA CONSTITUIÇÃO FEDERAL.",{'ARTIGO 192'},set(),{'CONSTITUIÇÃO FEDERAL'},set()
15,"O ARTIGO 192, PAR, 3, DA CONSTITUIÇÃO FEDERAL, E AUTO-APLICAVEL, RAZÃO PORQUE OS JUROS NÃO PODEM",{'ARTIGO 192'},set(),{'CONSTITUIÇÃO FEDERAL'},set()
