,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,"de seu(s) advogado(s) adiante firmado(s), que recebe as intimações e notificações em seu escritório  situado na  Rua 10, esquina com rua 07, nº 670, Galeria Linch, (Praça Almirante Tamandaré); Setor Oeste, Goiânia-Go – CEP:74.110.090, com supedâneo no artigo 274 do Código de Processo Civil e na Lei 8.078/90 e demais dispositivos aplicáveis à espécie, promover a presente AÇÃO ORDINÁRIA REVISIONAL DE FINANCIAMENTO DE VEÍCULO c/c CONSIGNAÇÃO EM PAGAMENTO INCIDENTAL, PEDIDO DE ANTECIPAÇÃO DE TUTELA JURISDICIONAL, INAUDITA ALTERA PARS, em face do  BANCO ITAÚ S/A",{'artigo 274'},{'Lei 8.078/90'},"{'Lei 8.078/90', 'Código de Processo Civil'}","{'Rua', 'rua'}"
1,"pessoa jurídica de direito privado, com inscrição e matricula no Ministério da Fazenda sob o nº CNPJ-60.701-0001/04, com sede na cidade de São Paulo – SP,  na Praça Alfredo Egídio de Souza Aranha, 100, Torre Itaúsa, com fulcro nos artigo 282 e seguintes e 270 e seguintes, art. 355 e seguintes, art. 844 e seus incisos, todos do Código de Processo Civil, combinados com o Código Civil Brasileiro e Código de Defesa do Consumidor, e demais dispositivos aplicáveis à espécie, pelos perseverantes fatos e fundamentos a seguir aduzidos, e ao final requerer:","{'art. 844', 'art. 355', 'artigo 282'}",set(),"{'Código Civil', 'Código de Processo Civil'}",{'CNPJ'}
2,"– CDC     	Sendo perfeitamente comportável a aplicação da teoria da imprevisão amparada pelo Código de Defesa do Consumidor, art. 6º., V, de sorte a  permitir a revisão de contratos de financiamentos/empréstimos com garantia fiduciária ou não, visando os expurgos de cláusulas contratuais que prevê correção monetária, juros remuneratórios, juros capitalizados, comissão de permanência  e outros encargos fora do permitido por Lei ou em descompasso com a realidade do negócio jurídico, boa fé e lealdade contratual, em síntese, tudo que  viola dispositivos legais,  ou  comprovado o desequilíbrio contratual autoriza revisão contratual visando o equilíbrio do ajuste que deve nortear as relações negociais.",{'art. 6'},set(),"{'CDC ', 'CDC'}",set()
3,"Disciplina o art. 54 do C.D.C, o que é contrato de adesão, verbis: Art. 54.","{'Art. 54', 'art. 54'}",set(),"{'C.D.C, '}",set()
4,"Quanto à natureza dos serviços prestados pelo requerido na situação em exame, o legislador foi expresso ao incluir como objeto da relação de consumo a expressão “natureza bancária”, ao conceituar serviço no § 2° do artigo 3° do CDC.",{'artigo 3'},set(),"{'CDC.', 'CDC'}",set()
5,"das S/As) e também prestadores de serviços, de sorte que sempre são considerados fornecedores para o CDC (art. 3°, caput, para o BANCO COMERCIANTE DE PRODUTOS, e art. 3° § 2°, para o BANCO PRESTADOR DE SERVIÇOS).",{'art. 3'},set(),"{'CDC ', 'CDC', 'ERCIAN'}",set()
6,"Dos produtos vendidos pelo banco, o dinheiro tem relevância como bem juridicamente consumível (art. 51, do Código Civil), como são as mercadorias em geral.” (in",{'art. 51'},set(),{'Código Civil'},set()
7,"V e VIII – da lei 8.078/90 e Súmulas 181, 285 e 286 do STJ),  ainda, quando estas cláusulas contratuais forem abusivas e a interpretação de maneira favorável aos aderentes das cláusulas ambíguas, contraditórias e conflitantes, confusas e draconianas (artigos 47 e 54 §§ 2.º  do CDC e artigos 423 e 424 do CCB).","{'artigos 47', 'artigos 423'}",{'lei 8.078/90'},"{'CC', 'CCB', 'CDC', 'CDC '}",set()
8,O Art. 46 do mesmo diploma legal (CDC) diz:,{'Art. 46'},set(),"{'CDC', 'CDC)'}",set()
9,"O CDC, em seu art. 46 disciplina o seguinte:",{'art. 46'},set(),"{'CDC,', 'CDC'}",set()
