,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,"D, QUADRA D11,  LOTE 8, 20, SETOR OESTE, CEP: 74150 – 040, GOIÁNIA – GOIÁS, com fulcro nos artigos 270  e seguintes, artigos 282 e 355 e seguintes, art. 844 e seus incisos, todos do Código de Processo Civil, combinados com o artigo  406 Código Civil Novo, Lei 8.078/90 - Código de Defesa do Consumidor, e demais dispositivos aplicáveis à espécie, pelos perseverantes fatos e fundamentos a seguir aduzidos, e ao final requerer:                                 1)  -   DOS FATOS","{'artigos 270', 'art. 844', 'artigos 282', 'artigo '}",{'Lei 8.078/90'},"{'Lei 8.078/90', 'Código Civil', 'Código de Processo Civil'}",set()
1,"Em outras palavras,  o Banco se reserva no direito de alterar unilateralmente as taxas de juros e outros encargos, debitando em conta corrente a sel bel prazer, o que  caracteriza cláusula potestativa pura, nula é de pleno direito nos termos do artigo 51, inciso XIII do Codigo de Defesa do Consumidor (Lei 8.078/11/09/90).",{'artigo 51'},{'Lei 8.078/11'},set(),set()
2,"Aplica-se analogicamente o disposto no  art. 1.007 do Código Civil velho (1916), (Não podem validar por novação obrigações nulas ou extintas):",{'art. 1'},set(),{'Código Civil'},set()
3,"A não ser assim canvalidar-se-a o enriquecimento sem causa e violaria o princípio da inafastabilidade da jurisdição (Constituíção Federal, art. 5°., XXXV), 			   Diante do sucedido, não restou outra alternativa para o  autor, senão recorrer à prestação jurisdicional do Estado-juiz, objetivando a proteção aos seus direitos e as garantias constitucionais que lhe é garantido pela Carta Magna Federal	    	            2) DOS JUROS - ABUSIVIDADE – CDCSuperadas as discussões a respeito da  limitação constitucional dos juros, ante a edição da súmula  648 do Supremo Tribunal Federal e a vigência da Emenda Constitucional  40/2003, que revogou o art. 192 § 3º da Constituição Federal, seria de se pensar se os consumidores brasileiros estariam à mercê das instituições financeiras.","{'art. 192', 'art. 5', 'arta '}",set(),"{'CDCS', 'Constituição', 'Constituição Federal', 'CDC'}",set()
4,"Ademais, em matéria de juros, os artigos 406, 591 e 2035, parágrafo único da Lei 10.406/02 (Código Civil), combinados com os artigos 39, § 4º., da Lei 9.250/95, sugerem a adoção de índices não superiores a taxa referencial do Sistema de Liquidação de Custódia – SELIC – ou mesmo sua taxação em 1% ao mês, conforme dispõe  o art. 161","{'artigos 39', 'artigos 406', 'art. 161'}","{'Lei 9.250/95', 'Lei 10.406/02'}","{'Código Civil', 'Lei 9', 'Lei 10.406/02'}",set()
5,"POR PARTE DO BANCO CREDOR, CONFORME NORMAS DO CDC.",{'ARTE '},set(),"{'CDC.', 'CDC'}",set()
6,"Os juros efetivos fixos anuais e o sistema de capitalização anual, é regido conforme determina os artigos 1.062, 1.063 e 1.262 do CC-1.916, combinado com os artigos 406 e 591 do CCB-2002, portanto aplica-se os encargos de juros legais de 12,00% ao ano, SEM CAPITALIZAÇÃO ATÉ","{'artigos 1', 'artigos 406'}",set(),"{'CC', 'CCB'}",set()
7,"o teor do art. 46 do CÓDIGO DE DEFESA DO CONSUMIDOR.Nesta mesma corrente também é o entendimento da Jurisprudência, senão vejamos, verbis:ACÓRDÃO....",{'art. 46'},set(),{'CÓDIGO DE DEFESA DO CONSUMIDOR'},set()
8,"I do art. 273 do Código de Processo Civil, que guarda semelhança com a do art. 798 do mesmo estatuto, ambas com nítida carência de uma tutela urgente.","{'art. 798', 'art. 273'}",set(),{'Código de Processo Civil'},set()
9,"Cumpre-se dessa forma o preceito do art. 273 do CPC, quanto a verossimilhança da obrigação invocada, considerando que a revisão de sua conta corrente, desde a abertura do crédito em conta corrente, (CHEQUE ESPECIAL) ex surge da cobrança indevida de juros, capitalização, taxas, multas e outros encargos cobrados indevidamente, uma vez, não protegido o direito do requerente, ficará passando por constrangimento ante a negativação seu nome e CPF nos órgãos de proteção ao crédito, tais como: (SPC, SERASA).",{'art. 273'},set(),"{'CPF ', 'CPC,', 'CPC'}",{'CPF'}
10,"Assim, na Ação pelo procedimento ordinário de revisão de contrato, (contrato de abertura de crédito em conta corrente) onde se discute cobranças ilegais de juros e outros encargos, demonstra a verossimilhança entre a alegação e a prova apresentada, conceder a tutela antecipada  (art. 273 do CPC), é perfeitamente admitida, justa e necessária, considerando que, não deferida desde logo, poderá se revelar tardia a prestação jurisdicional ora invocada.",{'art. 273'},set(),"{'CPC', 'CPC)'}",set()
11,"A PLAUSIBILIDADE DO DIREITO INVOCADO E O FUNDADO RECEIO DE DANO IRREPARÁVEL OU DE DIFÍCIL REPARAÇÃO, CONFORME EXIGÊNCIA DO ARTIGO 273, DO CPP, NECESSÁRIA E A CONCESSÃO DA TUTELA ANTECIPADA, DEVENDO, PORTANTO,",{'ARTIGO 273'},set(),"{'CPP', 'L REPA'}",set()
12,O DIREITO DA PARTE E ULTRAPASSA,{'ARTE '},set(),{'LTRAPA'},set()
