,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,"III e VI do Código de Processo Civil e na Lei 8.078/90, em seu artigo 6.º, incs.",{'artigo 6'},{'Lei 8.078/90'},"{'Lei 8.078/90', 'Código de Processo Civil'}",set()
1,"V e VIII, combinado com o artigo 5.º - da Lei 10.962/2004 e art. 112 do Código Civil, promover a presente, AÇÃO ORDINÁRA REVISIONAL DE CONTRATO DE LEASING C/C  CONSIGNAÇÃO EM PAGAMENTO E TUTELA ANTECIAPADA.em face do CIA ITAÚ LEASING - ARRENDAMENTO MERCANTIL, inscrita no Ministério da Fazenda sob o CNPJ de n.º 49.925.225/0001-48, situada à Avenida Antonio Massa, nº 481, São Paulo – SP, o fazendo ante os fatos e fundamentos jurídicos à seguir expostos:1) – DOS FATOS E, DO CONTRATO FIRMADO ENTRE AS PARTES.1-1)","{'artigo 5', 'art. 112'}",{'Lei 10.962/2004'},"{'Código Civil', 'C/C '}",{'CNPJ'}
2,"V e VIII – da Lei 8.078/90, combinado com o artigo  5.º. da  Lei 10.962-2004 e as Súmulas 181, 285, (286 e 297 do STJ), ainda, quando estas cláusulas contratuais forem abusivas e a interpretação de maneira favorável aos aderentes das cláusulas ambíguas, contraditórias e conflitantes, confusas e draconianas (artigos 47 e 54 § 2.º  do CDC e artigos 423 e 424 do CCB).1-3) –","{'artigos 47', 'artigos 423', 'artigo '}",{'Lei 8.078/90'},"{'CC', 'CDC', 'Lei 8.078/90', 'CDC ', 'CCB'}",set()
3,"O Valor para cobrança da taxa de arrendamento mensal ou para a opção de compra e venda, foi diluída nas contraprestações ao longo do contrato, na forma do artigo 5.º - alínea d – da Lei 6.099/74; e 1-4-3) -",{'artigo 5'},{'Lei 6.099/74'},set(),set()
4,"O percentual da taxa de juros no arrendamento mercantil foi de (4.3631% ao mês), correspondente aos juros cobrados pela Arrendadora no período contratado de 209,4267% e referidos juros remuneratórios ao ano foram de 52,3567%, o que por si só descaracteriza o arrendamento mercantil para um financiamento comum, conforme se pode extrair do acórdão Apelação Civil 76376-0/188 do TJ-(GO ), que considera seguramente a taxa de arrendamento de 4.3631% ao mês, como o limite dos juros para cálculos e capitalização no final da operação, para estabelecer o valor cobrado como operação de financiamento previsto no artigo 6.º - § 2.º - da Lei 6.099/74).1.4,6) –",{'artigo 6'},{'Lei 6.099/74'},set(),set()
5,"O agente financeiro deve obrigatoriamente possuir conta gráfica da evolução do contrato de arrendamento leasing (artigos  2.º - § 2.º -,  3.º - e 4.º - da Lei 6.099/74);2-2-5) –Os valores cobrados mensalmente do arrendamento mais os valores residuais para aquisição do bem não podem ser superiores ao valor do bem financiado com seus encargos legais (artigo 6.º § 2.º - da Lei 6.099/74).2-3) -","{'artigo 6', 'artigos '}",{'Lei 6.099/74'},set(),set()
6,"O art. 2º e 3º e seus incisos da Lei 8.078/90 – Código de Defesa do Consumidor, assim prescreve o seguinte, verbis:",{'art. 2'},{'Lei 8.078/90'},{'Lei 8.078/90'},set()
7,"O  artigo 11, da lei 6.099/74, dispõe que:	“A aquisição pelo arrendatário do bem arrendado, em desacordo com as disposições desta lei, será considerada operação de compra e venda a prazo"".",{'artigo 11'},{'lei 6.099/74'},set(),set()
8,"Diante disto, mesmo tendo o órgão máximo em dirimir as controvérsias jurídicas acerca da matéria, ei por bem discordar do seu posicionamento no que tange ao VGR, até porque e considerando o art. 112 do Código Civil de 2002, prescreve que:",{'art. 112'},set(),{'Código Civil'},set()
9,"POR PARTE DO BANCO CREDOR, CONFORME NORMAS DO CDC",{'ARTE '},set(),{'CDC'},set()
10,PELOS ARTIGOS 26 E 49 DO CDC  VEZ QUE NA ESPECIE PRETENDE-SE EXPURGAR CLAUSULAS ABUSIVAS E NAO DISCUTIR,{'ARTIGOS 26'},set(),"{'CDC ', 'CDC'}",set()
11,"A capitalização diária e mensal de juros, nas operações em tela, representa verdadeira AGIOTAGEM OSTENSIVA,  contrária as normas do artigo  art. 4º do Decreto-Lei nº 22.626/33 e  fere o CDC, além do que, pela a medida provisória 2.170-36/2001, necessariamente deve conter cláusula expressa no instrumento contratual de capitalização de juros, sendo que caso contrário, afasta tal incidência.","{'art. 4', 'artigo '}",set(),"{'CDC,', 'CDC'}",set()
12,"Assim, mesmo que o banco alege a pertinência da capitalização de juros com periodicidade inferior a 1 (um) ano pela Medida Provisória 1.963-17/2000, atualmente reeditada sob o nº 2.170-36/2001, o seu art. 5º que trata da capitalização de juros está suspensa através da ação direta proposta pelo PL –Partido Liberal, além do que tal incidência afronta o CDC, por abusividade destas cláusulas, conforme os reiterados julgados, transcritos abaixos:",{'art. 5'},set(),"{'CDC,', 'CDC'}",set()
13,"ARTIGO 192, PAR, 3, DA CONSTITUIÇÃO FEDERAL.",{'ARTIGO 192'},set(),{'CONSTITUIÇÃO FEDERAL'},set()
14,"O ARTIGO 192, PAR, 3, DA CONSTITUIÇÃO FEDERAL, E AUTO-APLICAVEL, RAZÃO PORQUE OS JUROS NÃO PODEM",{'ARTIGO 192'},set(),{'CONSTITUIÇÃO FEDERAL'},set()
15,"Segundo Nelson Nery Júnior, em comentário ao art. 273 do CPC (Código de Processo Civil comentado, Ed.",{'art. 273'},set(),"{'Código de Processo Civil', 'CPC', 'CPC '}",set()
16,"Porém, devidamente comprovada a veracidade das informações aqui prestadas, prova verossímil, presentes portanto, os pressupostos contidos no art. 273 do Código de Processo Civil.",{'art. 273'},set(),{'Código de Processo Civil'},set()
17,"Face ao exposto, requer seja processada a presente AÇÃO DE REVISÃO DE CONTRATO DE ARRENDAMENTO MERCANTIL – LEASING - mediante as cautelas legais de estilo, com fundamento nos artigos 273 , 274, 355, 844, todos do Código de Processo Civil, artigo 253 do Código Comercial, artigo 4º do Dec.- Lei nº 22.626/33, artigo 52 , 1º , do Codigo de Defesa do Consumidor e Código Civil Brasileiro, para que sejam deferidas em forma de antecipação de tutela os seguintes pedidos, a saber;b) -  seja determinada a expedição de MANDADO DE CITAÇÃO, via AR, nos termos do Art. 221, inciso I, e 222 e seguintes do Código de Processo Civil, em face da requerida, a ser cumprido no endereço indicado no preâmbulo desta, na pessoa de seu Representante Legal,  para, querendo responder aos termos da presente ação, sob pena de revelia, com as observações ou prerrogativas contidas na parte final do  artigo 285 do Código de Processo Civil e demais dispositivo legais aplicáveis à espécie;c) - DA TUTELA ANTECIPADA  - a Concessão da tutela antecipada, para determinar a exclusão do nome  e CPF da requerente dos cadastros restritivos - SERASA / SPC,  caso já inscrito que seja determinado sua imediata exclusão, se não, que o requerido se abstenha de inscrever, até final julgamento da presente demanda, quando deverá ser excluída definitivamente;d)","{'arte ', 'artigos 273', 'artigo 52', 'artigo 285', 'Art. 221', 'artigo 253', 'artigo 4'}",set(),"{'CPF ', 'Código Civil', 'Código de Processo Civil'}","{'endereço', 'CPF'}"
18,"; f-3)  -Suspensão da aplicação do índice superior a  2,00%,  sobre  multas por atraso nos pagamentos, na forma do artigo 51 (parágrafo 2.º) da Lei 8.078/90;f-4)",{'artigo 51'},{'Lei 8.078/90'},{'Lei 8.078/90'},set()
19,"A determinação da conexão de qualquer ação proposta pelo agente financeiro com a presente ação,  na forma do artigo do artigo 102 e seguintes, combinado com o artigo 253 do CPC, para julgamento único, evitando assim decisões ou sentenças controvertidas ou contraditórias e conflitantes;j)  – a inversão do ônus da Prova, com todos os consistórios legais de direito, inclusive o pagamento de perícia, laudos, emolumentos, documentos e outros que se fizerem necessários ao andamento da lide,","{'artigo 102', 'artigo 253', 'artigo '}",set(),"{'CPC,', 'CPC'}",set()
20,"A descaracterização do contrato de arrendamento leasing para uma compra venda simples, caso assim V. Exa., não entender que a revisão se processe nos moldes do contrato em discussão, tornando abusivas todos os itens constantes dos pedidos acima;o) - Protesta por todos os meios de provas em direitos admitidos, notadamente pela documentação anexa, em atendimento ao disposto no artigo 396, do CPC, e mais, depoimento pessoal do representante legal do banco, que deverá ser intimado, prova pericial a ser produzida na escrita contábil junto ao Banco, dando conta da cobrança ilegal de  juros, capitalização, multas e outros encargos etc.; p) - Empresta-se à presente causa o valor de R$ 17.000,00 (Dezessete mil reais), arbritados com base no valor  do contrato, conforme artigo 260 do CPC.o) -Nestes termos, Invocando os Doutos Suplementos do Emérito Julgador, pede e espera deferimento e JUSTIÇA.","{'artigo 396', 'artigo 260'}",set(),"{'CPC.', 'CPC,', 'CPC'}",set()
