,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,"pessoa jurídica de direito privado, com inscrição e matricula no Ministério da Fazenda sob o nº CNPJ-17.192.451/0001-70, 980, com sede na cidade de Poá – SP na Av. Alameda Pedro Calil, 43, Vila Acácias, com fulcro nos artigo 282 e seguintes e 270 e seguintes, art. 355 e seguintes, art. 844 e seus incisos, todos do Código de Processo Civil, combinados com o Código Civil Brasileiro e Código de Defesa do Consumidor, e demais dispositivos aplicáveis à espécie, pelos perseverantes fatos e fundamentos a seguir aduzidos, e ao final requerer:","['artigo 282', 'art. 355', 'art. 844']",[],"['Código Civil', 'Código de Processo Civil']","['CNPJ', 'Av. ']"
1,"– CDC     	Sendo perfeitamente comportável a aplicação da teoria da imprevisão amparada pelo Código de Defesa do Consumidor, art. 6º., V, de sorte a  permitir a revisão de contratos de financiamentos/empréstimos com garantia fiduciária ou não, visando os expurgos de cláusulas contratuais que prevê correção monetária, juros remuneratórios, juros capitalizados, comissão de permanência  e outros encargos fora do permitido por Lei ou em descompasso com a realidade do negócio jurídico, boa fé e lealdade contratual, em síntese, tudo que  viola dispositivos legais,  ou  comprovado o desequilíbrio contratual autoriza revisão contratual visando o equilíbrio do ajuste que deve nortear as relações negociais.",['art. 6'],[],"['CDC', 'CDC ', 'CDC']",[]
2,"Disciplina o art. 54 do C.D.C, o que é contrato de adesão, verbis: Art. 54.","['art. 54', 'Art. 54']",[],"['C.D.C, ']",[]
3,"Quanto à natureza dos serviços prestados pelo requerido na situação em exame, o legislador foi expresso ao incluir como objeto da relação de consumo a expressão “natureza bancária”, ao conceituar serviço no § 2° do artigo 3° do CDC.",['artigo 3'],[],"['CDC', 'CDC.', 'CDC']",[]
4,"das S/As) e também prestadores de serviços, de sorte que sempre são considerados fornecedores para o CDC (art. 3°, caput, para o BANCO COMERCIANTE DE PRODUTOS, e art. 3° § 2°, para o BANCO PRESTADOR DE SERVIÇOS).","['art. 3', 'art. 3']",[],"['CDC', 'CDC ', 'CDC', 'ERCIAN']",[]
5,"Dos produtos vendidos pelo banco, o dinheiro tem relevância como bem juridicamente consumível (art. 51, do Código Civil), como são as mercadorias em geral.” (in",['art. 51'],[],['Código Civil'],[]
6,"V e VIII – da lei 8.078/90 e Súmulas 181, 285 e 286 do STJ),  ainda, quando estas cláusulas contratuais forem abusivas e a interpretação de maneira favorável aos aderentes das cláusulas ambíguas, contraditórias e conflitantes, confusas e draconianas (artigos 47 e 54 §§ 2.º  do CDC e artigos 423 e 424 do CCB).","['artigos 47', 'artigos 423']",['lei 8.078/90'],"['CCB', 'CDC', 'CC', 'CDC ', 'CCB', 'CDC']",[]
7,O Art. 46 do mesmo diploma legal (CDC) diz:,['Art. 46'],[],"['CDC', 'CDC)', 'CDC']",[]
8,"O CDC, em seu art. 46 disciplina o seguinte:",['art. 46'],[],"['CDC', 'CDC,', 'CDC']",[]
9,"n. 1.963, de 30 de março de 2000, inovou ao autorizar a capitalização de juros em periodicidade inferior a um ano, bem como a edição da nova Medida Provisória, de n. 2.170-36, de 23 de agosto de 2001, cujo artigo 5º manteve a possibilidade de capitalização de juros em período inferior a um ano, dispositivo esse que ainda estaria em vigor em razão do disposto na Emenda Constitucional n. 32/01.No entanto, o MINISTRO SYDNEI SANCHES proferiu voto favorável à suspensão dos efeitos do artigo 5º da Medida Provisória nº 2.170-36/01 nos autos da ADIN 2316-1, em trâmite perante o EGRÉGIO","['artigo 5', 'artigo 5']",[],['de 2000'],[]
