,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,"pessoa jurídica de direito privado, com inscrição e matricula no Ministério da Fazenda sob o nº CNPJ-17.192.451/0001-70, 980, com sede na cidade de Poá – SP na Av. Alameda Pedro Calil, 43, Vila Acácias, com fulcro nos artigo 282 e seguintes e 270 e seguintes, art. 355 e seguintes, art. 844 e seus incisos, todos do Código de Processo Civil, combinados com o Código Civil Brasileiro e Código de Defesa do Consumidor, e demais dispositivos aplicáveis à espécie, pelos perseverantes fatos e fundamentos a seguir aduzidos, e ao final requerer:","{'art. 844', 'art. 355', 'artigo 282'}",set(),"{'Código Civil', 'Código de Processo Civil'}","{'Av. ', 'CNPJ'}"
1,"– CDC     	Sendo perfeitamente comportável a aplicação da teoria da imprevisão amparada pelo Código de Defesa do Consumidor, art. 6º., V, de sorte a  permitir a revisão de contratos de financiamentos/empréstimos com garantia fiduciária ou não, visando os expurgos de cláusulas contratuais que prevê correção monetária, juros remuneratórios, juros capitalizados, comissão de permanência  e outros encargos fora do permitido por Lei ou em descompasso com a realidade do negócio jurídico, em síntese, tudo que  viola dispositivos legais,  ou  comprovado",{'art. 6'},set(),"{'CDC ', 'CDC'}",set()
2,"Disciplina o art. 54 do C.D.C,  o que é contrato de adesão, verbis: Art. 54.","{'Art. 54', 'art. 54'}",set(),"{'C.D.C, '}",set()
3,"Quanto à natureza dos serviços prestados pelo requerido na situação em exame, o legislador foi expresso ao incluir como objeto da relação de consumo a expressão “natureza bancária”, ao conceituar serviço no § 2° do artigo 3° do CDC.",{'artigo 3'},set(),"{'CDC.', 'CDC'}",set()
4,"das S/As) e também prestadores de serviços, de sorte que sempre são considerados fornecedores para o CDC (art. 3°, caput, para o BANCO COMERCIANTE DE PRODUTOS, e art. 3° § 2°, para o BANCO PRESTADOR DE SERVIÇOS).",{'art. 3'},set(),"{'CDC ', 'CDC', 'ERCIAN'}",set()
5,"Dos produtos vendidos pelo banco, o dinheiro tem relevância como bem juridicamente consumível (art. 51, do Código Civil), como são as mercadorias em geral.” (in",{'art. 51'},set(),{'Código Civil'},set()
6,"V e VIII – da lei 8.078/90 e Súmulas 181, 285 e 286 do STJ),  ainda, quando estas cláusulas contratuais forem abusivas e a interpretação de maneira favorável aos aderentes das cláusulas ambíguas, contraditórias e conflitantes, confusas e draconianas (artigos 47 e 54 §§ 2.º  do CDC e artigos 423 e 424 do CCB).","{'artigos 47', 'artigos 423'}",{'lei 8.078/90'},"{'CC', 'CCB', 'CDC', 'CDC '}",set()
7,O Art. 46 do mesmo diploma legal (CDC) diz:,{'Art. 46'},set(),"{'CDC', 'CDC)'}",set()
8,"3 - As obrigações que estipulam tarifa de abertura de crédito e taxa de emissão de boleto violam o art. 51, IV, do CDC, porquanto transferem ao consumidor um ônus do credor.",{'art. 51'},set(),"{'CDC,', 'CDC'}",set()
9,"5 - Mostra-se cabível a aplicação de uma sanção ao credor fiduciário, quando apreende e aliena o bem, mesmo ciente dos depósitos efetuados pela parte devedora em sede de revisional posteriormente julgada procedente, nos termos do § 6º, do artigo 3º do Decreto-Lei 911/69, com a alteração da Lei n. 10.931/04.","{'arte ', 'artigo 3'}",{'Lei 911/69'},{'Lei 9'},set()
10,"O CDC, em seu art. 46 disciplina o seguinte:",{'art. 46'},set(),"{'CDC,', 'CDC'}",set()
11,"p/ retirada do nome e (CPF) da Autora junto aos órgãos de proteção ao crédito: SERASA, SPC e AFINS,   O caput do artigo 273 Do Digesto Processo Civil diz que o juiz poderá, a requerimento da parte antecipar, total ou parcialmente os efeitos da tutela pretendida no pedido inicial, desde que, existindo prova inequívoca, se convença da verossimilhança da alegação e:  I - haja fundado receio de dano irreparável ou de difícil reparação    Segundo Nelson Nery Júnior, em comentário ao art. 273 do CPC (Código de Processo Civil comentado, Ed.","{'arte ', 'artigo 273', 'art. 273'}",set(),"{'Código de Processo Civil', 'CPC', 'CPC ', 'CPF)'}",{'CPF'}
12,"OS REQUISITOS ELENCADOS NO ARTIGO 273 DO CPC, DEVE",{'ARTIGO 273'},set(),"{'CPC,', 'CPC'}",set()
13,"OS REQUISITOS ELENCADOS NO ARTIGO 273 DO CPC, DEVE",{'ARTIGO 273'},set(),"{'CPC,', 'CPC'}",set()
14,"II, CPC), observado ainda o direito à inversão do ônus da prova diante de eventual hipossuficiência do consumidor ou da verossimilhança da alegação deste (art. 6º,inc.",{'art. 6'},set(),"{'CPC', 'CPC)'}",set()
15,"Porém, devidamente comprovada a veracidade das informações aqui prestadas, prova verossímil, presentes  portanto, os pressupostos contidos no art. 273 do Código de Processo Civil.8 - DO VALOR REAL DAS PRESTAÇÕES E DO SALDO DEVEDOR.Preclaro Magistrado(a), pelas planilhas de cálculos anexas, utilizando índices de juros remuneratórios de 1.85% ao mês (taxa média do mercado extraído do Site do Banco Central do Brasil) (doc.",{'art. 273'},set(),{'Código de Processo Civil'},set()
16,"Face ao exposto, requer seja processada a presente AÇÃO DE REVISÃO DE CONTRATO DE FINANCIAMENTO DE VEÍCULO mediante as cautelas legais de estilo, com fundamento nos artigos 273 , 274, 355, 844, todos do Código de Processo Civil, artigo 253 do Codigo Comercial, artigo 4º do Dec.- Lei nº 22.626/33, artigo 52 , 1º, 46 e seguinte, do Codigo de Defesa do Consumidor e Código Civil Brasileiro, para que sejam deferidas em forma de antecipação de tutela os seguintes pedidos, a saber.b) -  seja determinada a expedição de MANDADO DE CITAÇÃO, via AR, nos termos do Art. 221, inciso I, e 222 e seguintes do Código de Processo Civil, em face da requerida, a ser cumprido no endereço indicado no preâmbulo desta, na pessoa de seu Representante Legal,  para, querendo responder aos termos da presente ação, sob pena de revelia, com as observações ou prerrogativas contidas na parte final do  artigo 285 do Código de Processo Civil e demais dispositivos legais aplicáveis à espécie;c) - DA TUTELA ANTECIPADA  - a Concessão da tutela antecipada, para determinar a exclusão do nome  e CPF da requerente dos cadastros restritivos - SERASA / SPC,  caso já inscrito que seja determinado sua imediata exclusão, se não, que o requerido se abstenha de inscrever, até final julgamento da presente demanda, quando deverá ser excluída definitivamente;d)","{'arte ', 'artigos 273', 'artigo 52', 'artigo 285', 'Art. 221', 'artigo 253', 'artigo 4'}",set(),"{'CPF ', 'Código Civil', 'Código de Processo Civil'}","{'endereço', 'CPF'}"
17,"Sem Capitalização;g-3)  -Suspensão da aplicação do índice superior a  2,00%,  sobre  multas por atraso nos pagamentos, na forma do artigo 51 (parágrafo 2.º) da Lei 8.078/90;g4)",{'artigo 51'},{'Lei 8.078/90'},{'Lei 8.078/90'},set()
18,"A determinação da conexão de qualquer ação proposta pelo agente financeiro com a presente ação,  na forma do artigo dos artigos 102 e seguintes, combinado com o artigo 253 do CPC, para julgamento único, evitando assim decisões ou sentenças controvertidas ou contraditórias e conflitantes;lj  – a inversão do ônus da Prova, com todos os consectórios legais de direito, inclusive o pagamento de perícia, laudos, emolumentos, documentos e outros que se fizerem necessários ao andamento da lide,","{'artigo 253', 'artigo ', 'artigos 102'}",set(),"{'CPC,', 'CPC'}",set()
19,"seja condenada a requerida  devolver em dobro, caso assim não entenda o valor simples é R$ 10.388,00 (dez mil, trezentos e oitenta e oito reais), tudo conforme apurado no laudo em anexo;.n) - Protesta por todos os meios de provas em direitos admitidos, notadamente pela documentação anexa, em atendimento ao disposto no artigo 396, do CPC, e mais, depoimento pessoal do representante legal do banco, que devera ser intimado, prova pericial a ser produzida na escrita contábil junto ao Banco, dando conta da cobrança ilegal de  juros, capitalização, multas e outros encargos etc. n)",{'artigo 396'},set(),"{'CPC,', 'CPC'}",set()
