,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,", respeitosamente,  propor AÇÃO ORDINÁRIA REVISIONAL DE FINANCIAMENTO DE VEÍCULO c/c CONSIGNAÇÃO EM PAGAMENTO INCIDENTAL, PEDIDO DE ANTECIPAÇÃO DE TUTELA JURISDICIONAL, INAUDITA ALTERA PARS, em face de BANCO FIAT S/A, pessoa jurídica de direito privado,  inscrita no CNPJ/MF sob o nº, 62.237.425/0001-76, com sede na Av. Paulista, n° 927, São Paulo-SP, com representação na sua Agência Avenida Anhanguera, n° 5.933, Setor Oeste – Goiânia – Goiás, com fulcro nos artigos 282 e seguintes e 270 e seguintes, art. 355 e seguintes, art. 844 e seus incisos, todos do Código de Processo Civil, combinados com o Código Civil Brasileiro e Código de Defesa do Consumidor, e demais dispositivos aplicáveis à espécie, pelos perseverantes fatos e fundamentos a seguir aduzidos, e ao final requerer:","{'art. 844', 'artigos 282', 'art. 355'}",set(),"{'Código Civil', 'Código de Processo Civil'}","{'Av. ', 'CNPJ'}"
1,"CDC     		  	Sendo perfeitamente comportável a aplicação da teoria da imprevisão amparada pelo Código de Defesa do Consumidor, art. 6º., V, de sorte a  permitir a revisão de contratos de financiamentos/empréstimos com garantia fiduciária ou não, visando os expurgos de cláusulas contratuais que prevê correção e outros encargos fora do permitido por Lei, em síntese tudo que  viola dispositivos legais,  ou  comprovado o desequilíbrio contratual autoriza sua revisão  visando o equilíbrio contratual que deve nortear as relações negociais.",{'art. 6'},set(),"{'CDC ', 'CDC'}",set()
2,"das S/As) e também prestadores de serviços, de sorte que sempre são considerados fornecedores para o CDC (art. 3°, caput, para o BANCO COMERCIANTE DE PRODUTOS, e art. 3° § 2°, para o BANCO PRESTADOR DE SERVIÇOS).",{'art. 3'},set(),"{'CDC ', 'CDC', 'ERCIAN'}",set()
3,"Dos produtos vendidos pelo banco, o dinheiro tem relevância como bem juridicamente consumível (art. 51, do Código Civil), como são as mercadorias em geral.” (in",{'art. 51'},set(),{'Código Civil'},set()
4,"V e VIII – da lei 8.078/90 e Súmulas 181, 285 e 286 do STJ),  ainda, quando estas cláusulas contratuais forem abusivas e a interpretação de maneira favorável aos aderentes das cláusulas ambíguas, contraditórias e conflitantes, confusas e draconianas (artigos 47 e 54 §§ 2.º  do CDC e artigos 423 e 424 do CCB).","{'artigos 47', 'artigos 423'}",{'lei 8.078/90'},"{'CC', 'CCB', 'CDC', 'CDC '}",set()
5,III – da Lei 8.078/90 e artigo 28-inc.,{'artigo 28'},{'Lei 8.078/90'},{'Lei 8.078/90'},set()
6,II – da Lei 8.078/90 e artigo 28-º -,{'artigo 28'},{'Lei 8.078/90'},{'Lei 8.078/90'},set()
7,"I – da Lei 10.931/04), para cálculos separados da correção monetária e outros encargos legais (artigo 52-inc.",{'artigo 52'},{'Lei 10.931/04'},set(),set()
8,"II – da Lei 8.078/90, artigo 6.º - do Dec.",{'artigo 6'},{'Lei 8.078/90'},{'Lei 8.078/90'},set()
9,"22.626/33, artigo 591 do CCB);4) -",{'artigo 591'},set(),"{'CC', 'CCB'}",set()
10,"No caso de cédulas de crédito ou bancária ou contrato firmado após a Lei 10.931/04, há permissão para cálculos e cobrança ou capitalização mensal, desde que com taxas mensais equivalentes a taxa efetiva fixa anual, para capitalização mensal na forma do artigo 6.º - do Dec.",{'artigo 6'},{'Lei 10.931/04'},set(),set()
11,"Desta forma deverá ser aplicado ao caso em tela, dentre outras, as normas do art. 39, inciso l e 51, inciso IV e § 2° do CDC, a fim de que sejam consideradas nulas as cláusulas do contrato em exame que estipulam juros abusivos, a capitalização dos mesmos de forma unificada, que gera em dobro a taxa de juros contratados, bem como a que institui a comissão de permanência, vez que também onera em demasia e injustificadamente a consumidora final do produto, como se demonstrará.",{'art. 39'},set(),"{'CDC,', 'CDC'}",set()
12,"Com efeito, o artigo 39, inciso l do CDC veda aos fornecedores de produtos ou serviços,  vantagem manifestamente excessiva em detrimento do consumidor(a)..",{'artigo 39'},set(),"{'CDC ', 'CDC'}",set()
13,"Ill - AUTO-APLICABILIDADE DO § 3 DO ART, 192, DA CF/88.","{'ART, 192'}",set(),"{'CF', 'CF/88'}",set()
14,"Deste modo, tem-se que qualquer violação ao Código de Defesa do Consumidor, torna-se suas cláusulas em abusivas sendo nulas de pleno direito (art. 51 do CDC), posto que, o contrato é maquiado com juros antagônicos, atrelados ao CDI, o que os torna juros bem superiores ao estabelecido no instrumento contratual, razão  porque deve ser limitados em 1% com capitalização anual. .",{'art. 51'},set(),"{'CDC', 'CDC)'}",set()
15,"A capitalização diária e mensal de juros, nas operações em tela, representa verdadeira AGIOTAGEM OSTENSIVA,  contraria as normas do artigo  art. 4º do Decreto-Lei nº 22.626/33 e  fere o CDC, além do que, pela a medida provisória 2.170-36/2001, necessariamente deve conter cláusula expressa no instrumento contratual de capitalização de juros, sendo que caso contrario, afasta tal incidencia.","{'art. 4', 'artigo '}",set(),"{'CDC,', 'CDC'}",set()
16,"Assim, mesmo que o banco alege a pertinência da capitalização de juros com periodicidade inferior a 1 (um) ano pela Medida Provisória 1.963-17/2000, atualmente reeditada sob o nº 2.170-36/2001, o seu art. 5º que trata da capitalização de juros está suspensa através da ação direta proposta pelo PL –Partido Liberal, além do que tal incidencia afronta o CDC, por abusividade desta cláusulas, conforme os reiterados julgados, transcritos abaixos:",{'art. 5'},set(),"{'CDC,', 'CDC'}",set()
17,"ARTIGO 192, PAR, 3, DA CONSTITUIÇÃO FEDERAL.",{'ARTIGO 192'},set(),{'CONSTITUIÇÃO FEDERAL'},set()
18,"O ARTIGO 192, PAR, 3, DA CONSTITUIÇÃO FEDERAL, E AUTO-APLICAVEL, RAZÃO PORQUE OS JUROS NÃO PODEM",{'ARTIGO 192'},set(),{'CONSTITUIÇÃO FEDERAL'},set()
19,"p/ retirada do nome e (CPF) do Autor junto aos órgãos de proteção ao crédito: SERASA, SPC e AFINS, O caput do artigo 273 Do Digesto Processo Civil diz que o juiz poderá, a requerimento da parte antecipar, total ou parcialmente os efeitos da tutela pretendida no pedido inicial, desde que, existindo prova inequívoca, se convença da verossimilhança da alegação e:","{'arte ', 'artigo 273'}",set(),{'CPF)'},{'CPF'}
20,"I - haja fundado receio de dano irreparável ou de difícil reparaçãoSegundo Nelson Nery Júnior, em comentário ao art. 273 do CPC (Código de Processo Civil comentado, Ed.",{'art. 273'},set(),"{'Código de Processo Civil', 'CPC', 'CPC '}",set()
21,"Porém, devidamente comprovada a veracidade das informações aqui prestadas, prova verossímil, presentes portanto, os pressupostos contidos no art. 273 do Código de Processo Civil.",{'art. 273'},set(),{'Código de Processo Civil'},set()
22,"Face ao exposto, requer seja processada a presente AÇÃO DE REVISÃO DE CONTRATO DE FINANCIAMENTO DE VEÍCULO mediante as cautelas legais de estilo, com fundamento nos artigos 273 , 274, 355, 844, todos do Código de Processo Civil, artigo 253 do Codigo Comercial, artigo 4º do Dec.- Lei nº 22.626/33, artigo 52 , 1º , do Codigo de Defesa do Consumidor e Código Civil Brasileiro, para que sejam deferidas em forma de antecipação de tutela os seguintes pedidos, a saber.b) -  seja determinada a expedição de MANDADO DE CITAÇÃO, via AR, nos termos do Art. 221, inciso I, e 222 e seguintes do Código de Processo Civil, em face da requerida, a ser cumprido no endereço indicado no preämbulo desta, na pessoa de seu Representante Legal,  para, querendo responder aos termos da presente ação, sob pena de revelia, com as observações ou prerrogativas contidas na parte final do  artigo 285 do Código de Processo Civil e demais dispositivos legais aplicáveis à espécie;c) - DA TUTELA ANTECIPADA  - a Concessão da tutela antecipada, para determinar a exclusão do nome  e CPF do requerente dos cadastros restritivos - SERASA / SPC,  caso já inscrito que seja determinado sua imediata exclusão, se não, que o requerido se abstenha de inscrever, até final julgamento da presente demanda, quando deverá ser excluída definitivamente;d)","{'arte ', 'artigos 273', 'artigo 52', 'artigo 285', 'Art. 221', 'artigo 253', 'artigo 4'}",set(),"{'CPF ', 'Código Civil', 'Código de Processo Civil'}","{'endereço', 'CPF'}"
23,"; f-3)  -Suspensão da aplicação do índice superior a  2,00%,  sobre  multas por atraso nos pagamentos, na forma do artigo 51 (parágrafo 2.º) da Lei 8.078/90;f-4)",{'artigo 51'},{'Lei 8.078/90'},{'Lei 8.078/90'},set()
24,"Ih - Que seja condenada a parte requerida em todas as cominações legais de direito, e, os honorários advocatícios sejam determinados ou fixados por V. Exa.,  sobre o valor da condenação na ordem de 20%;i) – Demandas conexas: A determinação da conexão de qualquer ação proposta pelo agente financeiro com a presente ação,  na forma do artigo dos artigos 102 e seguintes, combinado com o artigo 253 do CPC, para julgamento único, evitando assim decisões ou sentenças controvertidas ou contraditórias e conflitantes;lj  – a inversão do önus da Prova, com todos os consistórios legais de direito, inclusive o pagamento de perícia, laudos, emolumentos, documentos e outros que se fizerem necessários ao andamento da lide, sejam todos suportados pela Banco requerido.l) – Requer Finalmente, seja julgada procedente a presente AÇÃO ORDINÁRIA DE REVISÃO DE CONTRATO DE FINANCIAMENTO DE VEÍCULO, atribuindo  juros de lei (12%), encargos legais INPC/TR sendo o mais benéfico para o mutuário/autor, conforme requerido acima, apurado, saldo credor a favor do requerente, seja condenada a requerida  devolver em dobro, conforme requerido acima.m) - Protesta por todos os meios de provas em direitos admitidos, notadamente pela documentação anexa, em atendimento ao disposto no artigo 396, do CPC, e mais, depoimento pessoal do representante legal do banco, que devera ser intimado, prova pericial a ser produzida na escrita contábil junto ao Banco, dando conta da cobrança ilegal de  juros, capitalização, multas e outros encargos etc. n) - Empresta-se à presente causa o valor de R$ 26.000,00 (vinte e seis  mil reais), arbritados com base no valor  ncontratado, conforme artigo 260 do CPC.o) -Nestes termos, Invocando os Doutos Suplementos do Emérito Julgador, pede e espera deferimento e JUSTIÇA.","{'arte ', 'artigo 396', 'artigo ', 'artigos 102', 'artigo 253', 'artigo 260'}",set(),"{'CPC.', 'CPC,', 'CPC'}",set()
25,"Rizzo Plaza, Setor Sul, Goiânia-Go, com supedâneo no artigo 274 do Código de Processo Civil e na Lei 8.078/90, promover a presente,AÇÃO  REVISIONAL PARCIAL DE CÁLCULOS E CLÁUSULAS CONTRATUAIS DE FINANCIAMENTO  DE VENDA DE BENS DURÁVEIS, CUMULADA COM RESTITUIÇÃO DOS VALORES PAGOS",{'artigo 274'},{'Lei 8.078/90'},"{'Lei 8.078/90', 'Código de Processo Civil'}",set()
26,"O agente financeiro/leasing  possuir a conta gráfica da evolução do contrato de arrendamento (artigos  2.º - § 2.º -,  3.º - e 4.º - da Lei 6.099/74);1-2-1-3) –",{'artigos '},{'Lei 6.099/74'},set(),set()
27,Os valores cobrados mensalmente do arrendamento mais os valores residuais para aquisição do bem não podem ser superior ao valor do bem financiado com seus encargos legais (artigo 6.º § 2.º - da Lei 6.099/74).1-3) -,{'artigo 6'},{'Lei 6.099/74'},set(),set()
28,"O Valor para cobrança da taxa de arrendamento mensal ou para a opção de compra e venda, no valor de R$ 12.600,00 (doze mil e seiscentos reais), na forma do artigo 5.º - alínea d – da Lei 6.099/74",{'artigo 5'},{'Lei 6.099/74'},set(),set()
29,"O percentual da taxa de arrendamento (3,3751% ao mês), corresponde aos juros cobrados pela Arrendadora, conforme mencionado no acórdão Apelação Civil 76376-0/188 do TJ-GO ), que considerou a taxa de arrendamento de 3,3751% ao mês, como o limite dos juros para cálculos e capitalização no final da operação, para estabelecer o valor cobrado como operação de financiamento previsto no artigo 6.º - § 2.º - da Lei 6.099/74).2) – DA REVISÃO PROCEDIDA CONFORME",{'artigo 6'},{'Lei 6.099/74'},set(),set()
30,"– Mantendo a taxa percentual do arrendamento mercantil de 3,3751% ao mês (acórdão do TJ-GO Apelação Civil 76376-0/188 e artigo 6.º - § 2.º - da Lei 6.099/74);2-1-3-3) -  Mantendo a multa de 2,00% sobre os valores em mora ou cobrados a maior pelo Agente Financeiro (acórdão do TJ-GO - Apelação Civil 76376-0/188);2-1-3-4) - Mantendo os juros de mora de 1,00% ao mês sobre os valores em mora ou cobrados a maior pelo Agente Financeiro;e  2-1-4)",{'artigo 6'},{'Lei 6.099/74'},set(),set()
31,"Os valores são cobrados aleatoriamente, e as cobranças não acompanham o extrato da conta gráfica vinculada ao financiamento, desde o primeiro lançamento, conforme determina os artigos 604 e 614 do CPC e acórdãos do STJ;4-1-2) -",{'artigos 604'},set(),"{'CPC ', 'CPC'}",set()
32,"O agente financeiro aplicou Tabela Price nos cálculos de juros com taxas flutuantes, indexando-os com a correção financeira, ou seja, pré-fixou a correção monetária, somando os juros,  calculados e cobrados antecipadamente; 4-1-3) – Aplicação de manobras de cálculos na aplicação dos juros, afrontando o artigo 39 da Lei 8.078/90 e artigo 13 do Dec.","{'artigo 13', 'artigo 39'}",{'Lei 8.078/90'},{'Lei 8.078/90'},set()
33,"Assim constata-se cobrança coerciva, extorsiva e abusiva, tornando o financiamento impagável, e seguidamente há a turbação e ameaça de esbulho sobre o bem financiado, considerando as buscas e apreensões, necessitando a proteção prevista no artigo 932 do CPC; e 4-1-5) - A análise dos documentos, ficou público e notório que houve excesso de onerosidade e prestações mensais desproporcionais, imputando obrigações ao devedor/financiado, com ofensa a ordem pública e causando onerosidade ao financiado de valores impagáveis (artigos 2.035 e parágrafo único -, 104-inc.","{'artigo 932', 'artigos 2'}",set(),"{'CPC;', 'CPC'}",set()
34,"III -, 156, 157, 186, 187 e 478 – do Código Civil em vigor), exigindo a imediata revisão, por ofender também o artigo 52-incs.",{'artigo 52'},set(),{'Código Civil'},set()
