,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,"com fulcro nos artigo 282 e seguintes e 270 e seguintes, art. 355 e seguintes, art. 844 e seus incisos, todos do Código de Processo Civil, combinados com o artigo 964 do Código Civil Brasileiro(velho), e demais dispositivos aplicáveis à espécie, pelos perseverantes fatos e fundamentos a seguir aduzidos, e ao final requerer:PRELIMINARMENTEDA PRIORIDADE E CELERIDADE NA TRAMITAÇÃO","{'art. 844', 'artigo 964', 'art. 355', 'artigo 282'}",set(),"{'Código Civil', 'Código de Processo Civil'}",set()
1,"O art. 71 da lei 10.741/2003 (Estatuto do Idoso), prescreve o prioridade na tramitação dos processos e na execução dos atos e diligências judiciais a parte com idade igual ou superior a 60 (sessenta) anos.","{'art. 71', 'arte '}",{'lei 10.741/2003'},set(),set()
2,"“reprimir o aumento arbitrário do lucro (art. 173, § 4º., da CF).",{'art. 173'},set(),{'CF'},set()
3,"6º, inciso IV, do CDC,; art. 51, inciso IV, e § 1º , do CDC; .",{'art. 51'},set(),"{'CDC,', 'CDC', 'CDC;'}",set()
4,"Em outras palavras,  o Banco se reserva o direito de alterar unilateralmente as taxas de juros e outros encargos, debitando em conta corrente, o que  caracteriza cláusula potestativa pura, nula é de pleno direito nos termos do artigo 51, inciso XIII do Codigo de Defesa do Consumidor (Lei 8.078/11/09/90).Assim, através dos minguados extratos juntados aos autos, verificam-se as cobranças irregulares praticadas pelo Banco/requerido à título de juros, capitalização, taxas e outros encargos, evidenciando  verdadeira prática de agiotagem, razão porque, necessita de extrema urgente, revisar todas as operações que transitaram pela  conta corrente de depósito, em nome da mutuaria/autora.",{'artigo 51'},{'Lei 8.078/11'},set(),set()
5,"POR PARTE DO BANCO CREDOR, CONFORME NORMAS DO CDC.",{'ARTE '},set(),"{'CDC.', 'CDC'}",set()
6,"As taxas de juros bem como sua capitalização não foi observada e cumprida pelo requerido conforme preconiza os preceitos art. 192, § 3º da Constituição Federal, art. 1.062 do Código Civil, artigos 1º. (parágrafo 3º.) e 4º.","{'artigos 1', 'art. 192', 'art. 1'}",set(),"{'Constituição', 'Código Civil', 'Constituição Federal'}",set()
7,"O art. 964 do Código Civil Brasileiro, prevê  o seguinte:",{'art. 964'},set(),{'Código Civil'},set()
8,"Cumpre-se dessa forma o preceito do art. 273 do CPC, quanto a verossimilhança da obrigação invocada, considerando que a revisão de sua conta corrente, desde a abertura do crédito em conta corrente, (CHEQUE ESPECIAL) ex surge da cobrança indevida de juros, capitalização, taxas, multas e outros encargos cobrados indevidamente, uma vez, não protegido o direito da requerente, ficará passando por constrangimento ante a negativação seu nome e CPF nos órgãos de proteção ao crédito, tais como: (SPC, SERASA).",{'art. 273'},set(),"{'CPF ', 'CPC,', 'CPC'}",{'CPF'}
9,"Assim, na Ação pelo procedimento ordinário de revisão de contrato, (contrato de abertura de crédito em conta corrente) onde se discute cobranças ilegais de juros e outros encargos, demonstra a verossimilhança entre a alegação e a prova apresentada, conceder a tutela antecipada  (art. 273 do CPC), é perfeitamente admitida, justa e necessária, considerando que, não deferida desde logo, poderá se revelar tardia a prestação jurisdicional ora invocada.",{'art. 273'},set(),"{'CPC', 'CPC)'}",set()
10,"S/A.			Porém, devidamente comprovada a veracidade das informações aqui prestadas, prova verossímil, presentes portanto, os pressupostos contidos no art. 273 do Código de Processo Civil.",{'art. 273'},set(),{'Código de Processo Civil'},set()
