,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,"pessoa jurídica de direito privado,  inscrita no CNPJ/MF sob o nº, 01.149.953.0001-89, estabelecida na Av. Roque Petroni Jr. Nº 999, 15º andar, Conjunto A, São Paulo – SP,  com fulcro nos artigo 282 e seguintes e 270 e seguintes, art. 355 e seguintes, art. 844 e seus incisos, todos do Código de Processo Civil, combinados com o Código Civil Brasileiro e Código de Defesa do Consumidor, e demais dispositivos aplicáveis à espécie, pelos perseverantes fatos e fundamentos a seguir aduzidos, e ao final requerer:","['artigo 282', 'art. 355', 'art. 844']",[],"['Código Civil', 'Código de Processo Civil']","['CNPJ', 'Av. ']"
1,"CDC     		  	Sendo perfeitamente comportável a aplicação da teoria da imprevisão amparada pelo Código de Defesa do Consumidor, art. 6º., V, de sorte a  permitir a revisão de contratos de financiamentos/empréstimos com garantia fiduciária ou não, visando os expurgos de cláusulas contratuais que prevê correção e outros encargos fora do permitido por Lei, em síntese tudo que  viola dispositivos legais,  ou  comprovado o desequilíbrio contratual autoriza sua revisão  visando o equilíbrio contratual que deve nortear as relações negociais.",['art. 6'],[],"['CDC', 'CDC ', 'CDC']",[]
2,"das S/As) e também prestadores de serviços, de sorte que sempre são considerados fornecedores para o CDC (art. 3°, caput, para o BANCO COMERCIANTE DE PRODUTOS, e art. 3° § 2°, para o BANCO PRESTADOR DE SERVIÇOS).","['art. 3', 'art. 3']",[],"['CDC', 'CDC ', 'CDC', 'ERCIAN']",[]
3,"Dos produtos vendidos pelo banco, o dinheiro tem relevância como bem juridicamente consumível (art. 51, do Código Civil), como são as mercadorias em geral.” (in",['art. 51'],[],['Código Civil'],[]
4,"V e VIII – da lei 8.078/90 e Súmulas 181, 285 e 286 do STJ),  ainda, quando estas cláusulas contratuais forem abusivas e a interpretação de maneira favorável aos aderentes das cláusulas ambíguas, contraditórias e conflitantes, confusas e draconianas (artigos 47 e 54 §§ 2.º  do CDC e artigos 423 e 424 do CCB).","['artigos 47', 'artigos 423']",['lei 8.078/90'],"['CCB', 'CDC', 'CC', 'CDC ', 'CCB', 'CDC']",[]
5,III – da Lei 8.078/90 e artigo 28-inc.,['artigo 28'],['Lei 8.078/90'],['Lei 8.078/90'],[]
6,II – da Lei 8.078/90 e artigo 28-º -,['artigo 28'],['Lei 8.078/90'],['Lei 8.078/90'],[]
7,"I – da Lei 10.931/04), para cálculos separados da correção monetária e outros encargos legais (artigo 52-inc.",['artigo 52'],['Lei 10.931/04'],[],[]
8,"II – da Lei 8.078/90, artigo 6.º - do Dec.",['artigo 6'],['Lei 8.078/90'],['Lei 8.078/90'],[]
9,"22.626/33, artigo 591 do CCB);4) -",['artigo 591'],[],"['CCB', 'CC', 'CCB']",[]
