,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,"PODERES: Gerais para o foro, nos termos do Art. 38 do CPC.",['Art. 38'],[],"['CPC', 'CPC.', 'CPC']",[]
1,", para fins de em conjunto ou não, em qualquer instância foro ou tribunal, ad ou extra - judicia, em defesa dos interesses da outorgante propor quaisquer ações cíveis ou criminais promover quaisquer medidas preliminares, preventivas ou assecuratórias, inclusive receber citação inicial, recursos, reconvir, excepcionar, argüir suspeição de qualquer pessoa ou autoridade, representa-la na forma do art. 447 e 448 do CPC,  concordar ou impugnar cálculos, laudos e avaliações, assinar termos, confessar, transigir, desistir, discordar, receber e dar quitação, propor execução,  requerer falência,  habilitar créditos, Ação Ordinária, procedimento sumaríssimo, Juizado Especial de pequenas causas,  Ação rescisória, Ação de investigação de paternidade cumulada com pensão Alimentícia, Mandado de Segurança,  embargos, agravos, medidas cautelares, separadamente, podendo ainda substabelecer esta em outrem, com ou sem reservas de iguais poderes,   dando tudo por firme e valioso.",['art. 447'],[],"['CPC', 'CPC,', 'CPC']",[]
2,"PODERES: Gerais para o foro, nos termos do Art. 38 do CPC.",['Art. 38'],[],"['CPC', 'CPC.', 'CPC']",[]
3,", para fins de em conjunto ou não, em qualquer instância foro ou tribunal, ad ou extra - judicia, em defesa dos interesses da outorgante propor quaisquer ações cíveis ou criminais promover quaisquer medidas preliminares, preventivas ou assecuratórias, inclusive receber citação inicial, recursos, reconvir, excepcionar, argüir suspeição de qualquer pessoa ou autoridade, representa-la na forma do art. 447 e 448 do CPC,  concordar ou impugnar cálculos, laudos e avaliações, assinar termos, confessar, transigir, desistir, discordar, receber e dar quitação, propor execução,  requerer falência,  habilitar créditos, Ação Ordinária, procedimento sumaríssimo, Juizado Especial de pequenas causas,  Ação rescisória, Ação de investigação de paternidade cumulada com pensão Alimentícia, Mandado de Segurança,  embargos, agravos, medidas cautelares, separadamente, podendo ainda substabelecer esta em outrem, com ou sem reservas de iguais poderes,   dando tudo por firme e valioso.",['art. 447'],[],"['CPC', 'CPC,', 'CPC']",[]
4,"Goiás.com fulcro nos artigos 282 e seguintes e 270 e seguintes, art. 355 e seguintes, art. 844 e seus incisos, todos do Código de Processo Civil, combinados com o artigo 964 do Código Civil Brasileiro(velho) 406 Código Civil Novo, Lei 8.078/90, e demais dispositivos aplicáveis à espécie, pelos perseverantes fatos e fundamentos a seguir aduzidos, e ao final requerer:","['artigos 282', 'artigo 964', 'art. 355', 'art. 844']",['Lei 8.078/90'],"['Lei 8.078/90', 'Código Civil', 'Código Civil', 'Código de Processo Civil']",[]
5,"“reprimir o aumento arbitrário do lucro (art. 173, § 4º., da CF).",['art. 173'],[],['CF'],[]
6,"6º, inciso IV, do CDC,; art. 51, inciso IV, e § 1º , do CDC; .",['art. 51'],[],"['CDC', 'CDC', 'CDC,', 'CDC;', 'CDC', 'CDC']",[]
7,"Em outras palavras,  o Banco se reserva o direito de alterar unilateralmente as taxas de juros e outros encargos, debitando em conta corrente, o que  caracteriza cláusula potestativa pura, nula é de pleno direito nos termos do artigo 51, inciso XIII do Codigo de Defesa do Consumidor (Lei 8.078/11/09/90).",['artigo 51'],['Lei 8.078/11'],[],[]
8,"POR PARTE DO BANCO CREDOR, CONFORME NORMAS DO CDC.",['ARTE '],[],"['CDC', 'CDC.', 'CDC']",[]
9,"As taxas de juros bem como sua capitalização não foi observada e cumprida pelo requerido conforme preconiza os preceitos art. 192, § 3º da Constituição Federal, art. 1.062 do Código Civil, artigos 1º. (parágrafo 3º.) e 4º.","['artigos 1', 'art. 192', 'art. 1']",[],"['Constituição', 'Código Civil', 'Constituição Federal']",[]
10,"O art. 964 do Código Civil Brasileiro, prevê  o seguinte:",['art. 964'],[],['Código Civil'],[]
