,Frase,Artigo,Lei,Dispositivo,Petição Inicial
0,"19, Lt 10, Vila Morais, (Agência Praça da Bíblia) - CEP-74620-010, devidamente matriculada e registrada no CGC/MF 007.118.496/0001-41,  com fulcro nos artigos 282 e seguintes e 270 e seguintes, art. 355 e seguintes, art. 844 e seus incisos, todos do Código de Processo Civil, combinados com o artigo 964 do Código Civil Brasileiro(velho) 406 Código Civil Novo, Lei 8.078/90, e demais dispositivos aplicáveis à espécie, pelos perseverantes fatos e fundamentos a seguir aduzidos, e ao final requerer:                       1)  -   DOS FATOS","['artigos 282', 'artigo 964', 'art. 355', 'art. 844']",['Lei 8.078/90'],"['Lei 8.078/90', 'Código Civil', 'Código Civil', 'Código de Processo Civil', 'CGC/']",[]
1,"O referido contrato de abertura de crédito em conta corrente abrangendo todas as operações que transitaram pela referida conta corrente, o Agente Finaceiro de forma draconiana e ilegal aplica/ou juros extorcivos, abusivos, debitados em conta corrente, em percentuais cumulativos acima de 10% ao mês, capitalizados diária e mensalmente, o que corresponde, efetivamente,  a mais de 200% ao ano, percentuais insuportáveis, considerando que os juros legais são na ordem de 12% ao ano, e as Instituíções Financeiras não estão excluídas dessa exigëncia legal e moral pois, abrangidas pelo art. 406 do Código Civil novo e Lei 8.078/98.",['art. 406'],['Lei 8.078/98'],['Código Civil'],[]
2,"Em outras palavras,  o Banco se reserva o direito de alterar unilateralmente as taxas de juros e outros encargos, debitando em conta corrente, o que  caracteriza cláusula potestativa pura, nula é de pleno direito nos termos do artigo 51, inciso XIII do Codigo de Defesa do Consumidor (Lei 8.078/11/09/90).",['artigo 51'],['Lei 8.078/11'],[],[]
3,"POR PARTE DO BANCO CREDOR, CONFORME NORMAS DO CDC.",['ARTE '],[],"['CDC', 'CDC.', 'CDC']",[]
4,"(Arts. 6, II e 52, CDC), sob pena de de constituir em obrigação inexigivel, ante o teor do art. .",['art. '],[],"['CDC', 'CDC)', 'CDC']",[]
5,"Cumpre-se dessa forma o preceito do art. 273 do CPC, quanto a verossimilhança da obrigação invocada, considerando que a revisão de sua conta corrente, desde a abertura do crédito em conta corrente, (CHEQUE ESPECIAL) ex surge da cobrança indevida de juros, capitalização, taxas, multas e outros encargos cobrados indevidamente, uma vez, não protegido o direito do requerente, ficará passando por constrangimento ante a negativação seu nome e CPF nos órgãos de proteção ao crédito, tais como: (SPC, SERASA).",['art. 273'],[],"['CPC', 'CPF ', 'CPC,', 'CPC']",['CPF']
6,"Assim, na Ação pelo procedimento ordinário de revisão de contrato, (contrato de abertura de crédito em conta corrente) onde se discute cobranças ilegais de juros e outros encargos, demonstra a verossimilhança entre a alegação e a prova apresentada, conceder a tutela antecipada  (art. 273 do CPC), é perfeitamente admitida, justa e necessária, considerando que, não deferida desde logo, poderá se revelar tardia a prestação jurisdicional ora invocada.",['art. 273'],[],"['CPC', 'CPC)', 'CPC']",[]
7,"Porém, devidamente comprovada a veracidade das informações aqui prestadas, prova verossímil, presentes portanto, os pressupostos contidos no art. 273 do Código de Processo Civil.",['art. 273'],[],['Código de Processo Civil'],[]
8,"Face ao exposto, a rquerente vem perante V. Exa., requerer o seguinte: b) seja determinado a expedição de MANDADO DE CITAÇÃO, via AR, nos termos do Art. 221, inciso I, e 222 e seguintes do Código de Processo Civil, em face da requerida, a ser cumprido no endereço indicado no preämbulo desta, na pessoa de seu Representante Legal,  para, querendo responder aos termos da presente ação, sob pena de revelia, com as observações ou prerrogativas contidas na parte final do  artigo 285 do Código de Processo Civil e demais dispositivos legais;c) - DA TUTELA ANTECIPADA  - a Concessão da tutela antecipada, para determinar a exclusão do nome, CNPJ e nome do  e CPF do sócio da empresa dos cadastros restritivos - SERASA / SPC,  no que pertine ao CNPJ  nome e CPF do sócio, das operações referente à abertura de crédito em conta corrente, caso já inscrito que seja determinado sua imediata exclusão, se não, que o requerido se abstenha de inscrever, até final julgamento da presente demanda, quando deverá ser excluída definitivamente;d) –   DA TUTELA ANTECIPADA DE EXIBIÇÃO DE DOCUMENTOS – para determinar que a requerida, exiba em juízo, os extratos da  CONTA","['artigo 285', 'Art. 221', 'arte ']",[],"['Código de Processo Civil', 'Código de Processo Civil', 'CPF ', 'CPF ']","['CPF', 'CPF', 'CNPJ', 'CNPJ', 'endereço']"
9,"Capitalização de juros anuais e não mensais, conforme vem aplicando o banco/requerido;d-3)  -Suspensão da aplicação do índice superior a  2,00%,  sobre  multas por atraso nos pagamentos, na forma do artigo 51 (parágrafo 2.º) da Lei 8.078/90;d.4) Seja vedado a aplicação da comissão de permanência vez que cumulada com outros encargos, oque é proibido por Lei.e) –",['artigo 51'],['Lei 8.078/90'],['Lei 8.078/90'],[]
